,Init Mode,Learning Rate,Batch Size,# of Epochs,Accuracy
213,zero,0.85272,64,500,66.0
215,zero,0.85272,64,2000,66.0
229,zero,0.013420000000000001,8,500,66.0
239,zero,0.013420000000000001,32,2000,66.0
254,zero,0.15482,4,1000,66.0
258,zero,0.15482,8,1000,66.0
259,zero,0.15482,8,2000,66.0
262,zero,0.15482,16,1000,66.0
280,xavier,0.9147400000000001,4,100,66.0
293,xavier,0.9147400000000001,32,500,66.0
298,xavier,0.9147400000000001,64,1000,66.0
299,xavier,0.9147400000000001,64,2000,66.0
308,xavier,0.9149,4,100,66.0
321,xavier,0.9149,32,500,66.0
326,xavier,0.9149,64,1000,66.0
327,xavier,0.9149,64,2000,66.0
338,xavier,0.45595,4,1000,66.0
342,xavier,0.45595,8,1000,66.0
350,xavier,0.45595,32,1000,66.0
355,xavier,0.45595,64,2000,66.0
357,xavier,0.45595,128,500,66.0
360,xavier,0.45595,256,100,66.0
365,xavier,0.21651,4,500,66.0
367,xavier,0.21651,4,2000,66.0
371,xavier,0.21651,8,2000,66.0
372,xavier,0.21651,16,100,66.0
373,xavier,0.21651,16,500,66.0
406,xavier,0.41642,32,1000,66.0
411,xavier,0.41642,64,2000,66.0
427,xavier,0.6437900000000001,8,2000,66.0
429,xavier,0.6437900000000001,16,500,66.0
431,xavier,0.6437900000000001,16,2000,66.0
433,xavier,0.6437900000000001,32,500,66.0
434,xavier,0.6437900000000001,32,1000,66.0
436,xavier,0.6437900000000001,64,100,66.0
438,xavier,0.6437900000000001,64,1000,66.0
439,xavier,0.6437900000000001,64,2000,66.0
441,xavier,0.6437900000000001,128,500,66.0
444,xavier,0.6437900000000001,256,100,66.0
455,xavier,0.7853300000000001,8,2000,66.0
457,xavier,0.7853300000000001,16,500,66.0
461,xavier,0.7853300000000001,32,500,66.0
467,xavier,0.7853300000000001,64,2000,66.0
483,xavier,0.85272,8,2000,66.0
489,xavier,0.85272,32,500,66.0
494,xavier,0.85272,64,1000,66.0
495,xavier,0.85272,64,2000,66.0
507,xavier,0.013420000000000001,4,2000,66.0
513,xavier,0.013420000000000001,16,500,66.0
514,xavier,0.013420000000000001,16,1000,66.0
519,xavier,0.013420000000000001,32,2000,66.0
534,xavier,0.15482,4,1000,66.0
538,xavier,0.15482,8,1000,66.0
547,xavier,0.15482,32,2000,66.0
560,gauss,0.9147400000000001,4,100,66.0
573,gauss,0.9147400000000001,32,500,66.0
577,gauss,0.9147400000000001,64,500,66.0
579,gauss,0.9147400000000001,64,2000,66.0
588,gauss,0.9149,4,100,66.0
601,gauss,0.9149,32,500,66.0
605,gauss,0.9149,64,500,66.0
607,gauss,0.9149,64,2000,66.0
618,gauss,0.45595,4,1000,66.0
622,gauss,0.45595,8,1000,66.0
630,gauss,0.45595,32,1000,66.0
635,gauss,0.45595,64,2000,66.0
645,gauss,0.21651,4,500,66.0
647,gauss,0.21651,4,2000,66.0
653,gauss,0.21651,16,500,66.0
665,gauss,0.21651,128,500,66.0
686,gauss,0.41642,32,1000,66.0
691,gauss,0.41642,64,2000,66.0
707,gauss,0.6437900000000001,8,2000,66.0
709,gauss,0.6437900000000001,16,500,66.0
714,gauss,0.6437900000000001,32,1000,66.0
716,gauss,0.6437900000000001,64,100,66.0
718,gauss,0.6437900000000001,64,1000,66.0
719,gauss,0.6437900000000001,64,2000,66.0
735,gauss,0.7853300000000001,8,2000,66.0
741,gauss,0.7853300000000001,32,500,66.0
747,gauss,0.7853300000000001,64,2000,66.0
763,gauss,0.85272,8,2000,66.0
769,gauss,0.85272,32,500,66.0
773,gauss,0.85272,64,500,66.0
775,gauss,0.85272,64,2000,66.0
789,gauss,0.013420000000000001,8,500,66.0
814,gauss,0.15482,4,1000,66.0
818,gauss,0.15482,8,1000,66.0
822,gauss,0.15482,16,1000,66.0
7,zero,0.9147400000000001,8,2000,65.0
8,zero,0.9147400000000001,16,100,65.0
14,zero,0.9147400000000001,32,1000,65.0
16,zero,0.9147400000000001,64,100,65.0
35,zero,0.9149,8,2000,65.0
36,zero,0.9149,16,100,65.0
42,zero,0.9149,32,1000,65.0
44,zero,0.9149,64,100,65.0
57,zero,0.45595,4,500,65.0
63,zero,0.45595,8,2000,65.0
64,zero,0.45595,16,100,65.0
72,zero,0.45595,64,100,65.0
86,zero,0.21651,4,1000,65.0
88,zero,0.21651,8,100,65.0
90,zero,0.21651,8,1000,65.0
94,zero,0.21651,16,1000,65.0
95,zero,0.21651,16,2000,65.0
118,zero,0.41642,8,1000,65.0
128,zero,0.41642,64,100,65.0
144,zero,0.6437900000000001,8,100,65.0
151,zero,0.6437900000000001,16,2000,65.0
176,zero,0.7853300000000001,16,100,65.0
182,zero,0.7853300000000001,32,1000,65.0
185,zero,0.7853300000000001,64,500,65.0
186,zero,0.7853300000000001,64,1000,65.0
207,zero,0.85272,16,2000,65.0
210,zero,0.85272,32,1000,65.0
214,zero,0.85272,64,1000,65.0
221,zero,0.85272,256,500,65.0
227,zero,0.013420000000000001,4,2000,65.0
253,zero,0.15482,4,500,65.0
256,zero,0.15482,8,100,65.0
257,zero,0.15482,8,500,65.0
267,zero,0.15482,32,2000,65.0
287,xavier,0.9147400000000001,8,2000,65.0
294,xavier,0.9147400000000001,32,1000,65.0
300,xavier,0.9147400000000001,128,100,65.0
315,xavier,0.9149,8,2000,65.0
322,xavier,0.9149,32,1000,65.0
328,xavier,0.9149,128,100,65.0
336,xavier,0.45595,4,100,65.0
337,xavier,0.45595,4,500,65.0
343,xavier,0.45595,8,2000,65.0
348,xavier,0.45595,32,100,65.0
356,xavier,0.45595,128,100,65.0
362,xavier,0.45595,256,1000,65.0
366,xavier,0.21651,4,1000,65.0
370,xavier,0.21651,8,1000,65.0
374,xavier,0.21651,16,1000,65.0
375,xavier,0.21651,16,2000,65.0
376,xavier,0.21651,32,100,65.0
393,xavier,0.41642,4,500,65.0
398,xavier,0.41642,8,1000,65.0
404,xavier,0.41642,32,100,65.0
416,xavier,0.41642,256,100,65.0
432,xavier,0.6437900000000001,32,100,65.0
445,xavier,0.6437900000000001,256,500,65.0
460,xavier,0.7853300000000001,32,100,65.0
462,xavier,0.7853300000000001,32,1000,65.0
